id,name,category,description,price,stock,imageUrl
1,Wireless Bluetooth Headphones,Electronics,High-quality wireless headphones with noise cancellation and 30-hour battery life. Premium sound and comfortable fit for all-day use.,89.99,150,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
2,USB-C Fast Charger,Electronics,65W USB-C power adapter with multiple device charging capability. Compact design perfect for travel.,34.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/USB_Type-C_Receptacle_02.jpg/320px-USB_Type-C_Receptacle_02.jpg
3,4K Webcam,Electronics,Professional 4K webcam with auto-focus and built-in microphone for streaming and video calls.,149.99,75,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/GoldenGateBridge-001.jpg/320px-GoldenGateBridge-001.jpg
4,Mechanical Keyboard,Electronics,RGB mechanical keyboard with custom switches and programmable keys for gaming and work.,129.99,100,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/KeboardLayout.svg/320px-KeboardLayout.svg.png
5,Portable SSD 1TB,Electronics,Ultra-fast portable solid state drive with 1TB capacity. Water-resistant and durable design.,159.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Laptop_hard_disk_exposed.jpg/320px-Laptop_hard_disk_exposed.jpg
6,Smart Watch Fitness,Electronics,Advanced fitness tracking with heart rate monitor, sleep tracking, and 14-day battery life.,199.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/21799s-digital-watch.jpg/320px-21799s-digital-watch.jpg
4K Monitor 32",Electronics,Stunning 32-inch 4K display with HDR support and USB-C connectivity for professional work.,399.99,40,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Metal_texture.jpg/320px-Metal_texture.jpg
Laptop Stand Aluminum,Electronics,Premium aluminum laptop stand with adjustable height. Compatible with all laptop sizes.,45.99,180,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
Wireless Mouse Pro,Electronics,Ergonomic wireless mouse with precision tracking and 18-month battery life.,59.99,160,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/A_small_cup_of_coffee.JPG/320px-A_small_cup_of_coffee.JPG
10,USB Hub 7-Port,Electronics,Compact 7-port USB hub with individual switches and fast charging support.,49.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
11,Winter Wool Coat,Fashion,Luxurious wool winter coat with classic design. Perfect for cold weather. Available in navy and charcoal.,189.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/DogInWinterClothes.jpg/320px-DogInWinterClothes.jpg
12,Casual Denim Jacket,Fashion,Classic blue denim jacket suitable for all seasons. Durable and timeless style.,79.99,120,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
13,Comfortable Running Shoes,Fashion,Lightweight running shoes with responsive cushioning and excellent arch support.,129.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Gfp-running.jpg/320px-Gfp-running.jpg
14,Elegant Evening Dress,Fashion,Sophisticated black evening dress perfect for formal occasions. Featuring elegant draping.,249.99,35,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
15,Athletic Leggings,Fashion,High-waisted leggings with moisture-wicking fabric and pockets. Perfect for workouts.,69.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
16,Cotton T-Shirt 3-Pack,Fashion,Premium quality cotton t-shirts in assorted colors. Comfortable fit and durable construction.,44.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
17,Wool Beanie,Fashion,Warm wool beanie perfect for winter. Soft and breathable material.,24.99,180,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
18,Leather Belt,Fashion,Classic leather belt with solid brass buckle. Available in black and brown.,59.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
19,Sports Socks 6-Pack,Fashion,Moisture-wicking athletic socks perfect for any activity. Comfortable and durable.,29.99,250,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
20,Summer Shorts,Fashion,Lightweight and breathable shorts perfect for summer activities. Multiple color options.,49.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
21,Memory Foam Pillow,Home & Garden,Premium memory foam pillow that contours to your head for perfect support and comfort.,69.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
22,Bamboo Bed Sheets Set,Home & Garden,Luxurious bamboo sheets with deep pockets. Ultra soft and temperature regulating.,89.99,70,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
23,Stainless Steel Cookware Set,Home & Garden,9-piece cookware set with heat-resistant handles. Perfect for any kitchen.,199.99,45,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Above_Gotham.jpg/320px-Above_Gotham.jpg
24,Coffee Maker Programmable,Home & Garden,12-cup programmable coffee maker with thermal carafe and auto-brew feature.,79.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/A_small_cup_of_coffee.JPG/320px-A_small_cup_of_coffee.JPG
25,Microfiber Towels Set,Home & Garden,Fast-drying microfiber towels set of 6. Perfect for bathroom or gym use.,44.99,120,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
26,Table Lamp LED,Home & Garden,Modern LED table lamp with adjustable brightness. Energy efficient and stylish.,59.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
27,Soft Area Rug 8x10,Home & Garden,Plush area rug adding warmth and style to any room. Machine washable and durable.,149.99,35,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
28,Plant Pot with Drainage,Home & Garden,Ceramic plant pot with excellent drainage. Perfect for indoor plants and flowers.,34.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
29,Hanging Shelves Floating,Home & Garden,Set of 3 floating shelves for display or storage. Easy wall mounting and installation.,89.99,80,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
30,Shower Caddy Stainless,Home & Garden,Durable stainless steel shower caddy with rust-free construction. 3-tier design.,49.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
31,Basketball Outdoor,Sports,Durable rubber basketball suitable for outdoor courts. Professional grade quality.,39.99,90,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Basketball.png/320px-Basketball.png
32,Yoga Mat Non-Slip,Sports,Premium yoga mat with non-slip surface and carrying strap. Perfect for classes or home practice.,49.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
33,Dumbbells Adjustable,Sports,Adjustable dumbbells with weight range 5-50 lbs. Space-saving home gym solution.,249.99,50,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
34,Resistance Bands Set,Sports,Colorful set of 5 resistance bands for strength training. Different resistance levels.,29.99,170,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
35,Jump Rope Speed,Sports,Professional speed jump rope with ball bearings for smooth rotation. Great for cardio.,24.99,160,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
36,Foam Roller Muscle,Sports,High-density foam roller for muscle recovery and flexibility. 36 inches long.,34.99,125,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
37,Tennis Racket Pro,Sports,Lightweight tennis racket with carbon fiber construction. Ideal for beginners and pros.,149.99,65,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
38,Bicycle Helmet Safety,Sports,Certified safety helmet with excellent ventilation. Adjustable fit for comfort.,59.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
39,Swimming Goggles,Sports,Anti-fog swimming goggles with UV protection and comfortable fit. Includes 2 pairs.,34.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
40,Golf Club Set 14-Piece,Sports,Complete golf club set with bag and stand. Professional quality for all skill levels.,399.99,25,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
41,Stainless Steel Water Bottle,Kitchen & Dining,32oz insulated water bottle keeps drinks cold for 24 hours or hot for 12 hours.,39.99,170,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
42,Non-Stick Frying Pan,Kitchen & Dining,Professional grade non-stick frying pan with ergonomic handle. Oven safe up to 400F.,49.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
43,Ceramic Dinner Plates Set,Kitchen & Dining,Beautiful ceramic dinner plates set of 4. Dishwasher safe and elegant design.,64.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
44,Stainless Steel Cutlery,Kitchen & Dining,Premium stainless steel flatware set service for 6. Includes forks spoons and knives.,84.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
45,Glass Food Storage Containers,Kitchen & Dining,Set of 4 glass containers with airtight lids for food storage. Microwave safe.,34.99,160,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
46,Cutting Board Set Bamboo,Kitchen & Dining,Eco-friendly bamboo cutting boards set of 3. Naturally antibacterial and durable.,44.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
47,Chef Knife German Steel,Kitchen & Dining,Premium 8-inch chef knife with German steel blade. Perfect for all cutting tasks.,89.99,100,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
48,Blender Smoothie Maker,Kitchen & Dining,High-speed blender with 1400W motor. Perfect for smoothies and soups.,129.99,70,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
49,Coffee Grinder Burr,Kitchen & Dining,Precision burr grinder with 15 grind settings. Ideal for fresh ground coffee.,74.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
50,Measuring Cups and Spoons,Kitchen & Dining,Complete set of accurate measuring cups and spoons in stainless steel.,24.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
51,Portable Speaker Bluetooth,Audio & Music,Waterproof Bluetooth speaker with 20-hour battery life and 360-degree sound.,89.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
52,Vinyl Record Player,Audio & Music,Classic turntable with built-in speakers and Bluetooth connectivity. Retro design.,149.99,55,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
53,Acoustic Guitar 41-Inch,Audio & Music,Premium acoustic guitar made from solid wood. Perfect for beginners and professionals.,199.99,40,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
54,Digital Piano 88-Keys,Audio & Music,Full-size digital piano with weighted keys and MIDI connectivity.,499.99,20,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
55,Microphone Condenser USB,Audio & Music,Professional USB condenser microphone for streaming and recording. Includes pop filter.,99.99,75,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
56,Headphone Amplifier,Audio & Music,Portable headphone amplifier with high-quality audio output. Battery powered.,129.99,50,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
57,Studio Monitor Speakers,Audio & Music,Pair of professional studio monitor speakers for accurate sound reproduction.,349.99,30,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
58,Audio Cable XLR Pro,Audio & Music,High-quality XLR cables for professional audio equipment. 3-meter length.,29.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
59,Drumstick Set Oak,Audio & Music,Professional grade drumsticks made from quality oak. Pair set.,14.99,300,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
60,Music Stand Metal,Audio & Music,Lightweight portable music stand with adjustable height. Sturdy construction.,39.99,120,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
61,HD Action Camera 4K,Photography,Rugged 4K action camera with waterproof housing. Perfect for adventure sports.,249.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
62,Tripod Professional,Photography,Sturdy aluminum tripod with ball head. Extends to 71 inches height.,99.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
63,Camera Lens 35mm,Photography,Premium 35mm lens with fast f/1.8 aperture for stunning photos.,349.99,40,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
64,Photography Lighting Kit,Photography,Complete 3-light kit with umbrellas and stands for professional photography.,199.99,35,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
65,Camera Bag DSLR,Photography,Waterproof camera bag with protective padding and multiple compartments.,89.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
66,Memory Cards 128GB,Photography,High-speed 128GB memory card with fast read/write speeds for photography.,69.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
67,Light Reflector 5-in-1,Photography,Collapsible 5-in-1 reflector kit for controlling light in photography.,39.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
68,Drone Quadcopter 4K,Photography,Compact 4K drone with 25-minute flight time and obstacle avoidance system.,699.99,15,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
69,Phone Tripod Mount,Photography,Lightweight phone tripod with adjustable arms for stable phone filming.,24.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
70,Notebook Ruled Paper,Stationery & Office,Premium ruled notebook with 200 pages. Perfect for notes and planning.,14.99,300,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
71,Pen Set Premium,Stationery & Office,Set of 6 premium gel pens with comfortable grip and smooth writing.,19.99,250,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
72,Desk Organizer Bamboo,Stationery & Office,Eco-friendly bamboo desk organizer with multiple compartments for supplies.,39.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
73,Sticky Notes Assorted,Stationery & Office,Colorful sticky notes pack with 600 sheets in assorted sizes and colors.,9.99,400,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
74,Stapler Heavy Duty,Stationery & Office,Heavy-duty stapler that handles up to 100 sheets. Black metal construction.,24.99,170,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
75,Folder File Cabinet,Stationery & Office,Metal file cabinet with 4 drawers for office document storage and organization.,149.99,45,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
76,Calendar Desk 2024,Stationery & Office,Professional desk calendar with monthly and weekly views for planning.,19.99,200,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
77,Laminating Machine,Stationery & Office,Hot laminating machine for A4 documents. Includes laminating pouches.,64.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
78,Staples Box 1000-Count,Stationery & Office,Box of 1000 standard staples compatible with most staplers.,7.99,500,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
79,Highlighter Set Neon,Stationery & Office,Bright neon highlighter set with 6 colors for easy text marking.,12.99,350,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
80,Whiteboard Wall Mounted,Stationery & Office,30x40 inch wall-mounted whiteboard with marker and eraser included.,49.99,90,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
81,Yoga Essentials Bundle,Health & Beauty,Complete yoga bundle with mat block and strap. Perfect starter kit.,89.99,75,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
82,Face Moisturizer SPF 30,Health & Beauty,Daily moisturizer with SPF 30 protection and hyaluronic acid.,39.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
83,Hair Dryer Ionic,Health & Beauty,Professional ionic hair dryer with 3 heat settings. Reduces frizz.,69.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
84,Essential Oils Starter Kit,Health & Beauty,Set of 6 pure essential oils with diffuser and carrying case.,49.99,110,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
85,Toothbrush Electric Sonic,Health & Beauty,Sonic toothbrush with 5 cleaning modes and wireless charging.,79.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
86,Skincare Set Complete,Health & Beauty,Complete 4-step skincare set for all skin types. Cleanser toner and more.,84.99,70,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
87,Massage Gun Handheld,Health & Beauty,Professional massage gun with 5 attachment heads and variable speed.,119.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
88,Face Mask Sheet Pack,Health & Beauty,Box of 25 sheet face masks with hydrating and brightening formulas.,44.99,140,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
89,Meditation Cushion Zafu,Health & Beauty,Supportive meditation cushion for comfortable sitting practice.,59.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
90,Water Bottle Infuser,Health & Beauty,Infuser water bottle for adding fruits and herbs to water. 32oz capacity.,34.99,160,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
91,Children's Learning Blocks,Toys & Kids,Colorful foam blocks set with 100 pieces. Educational and safe for toddlers.,34.99,120,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
92,Building Robot Kit,Toys & Kids,STEM building kit with 200 pieces to build working robot. Ages 8+.,69.99,80,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
93,Puzzle 1000-Piece,Toys & Kids,Challenging 1000-piece jigsaw puzzle with beautiful landscape image.,29.99,150,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
94,Action Figure Collection,Toys & Kids,Set of 10 popular action figures with accessories. Perfect for collectors.,44.99,100,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
95,Board Game Family,Toys & Kids,Fun family board game for ages 6 and up. Includes game board pieces and cards.,39.99,130,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
96,Remote Control Car,Toys & Kids,Fast RC car with 2.4GHz controller and 30-minute runtime.,59.99,95,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
97,Coloring Book Deluxe,Toys & Kids,Adult coloring book with 100 detailed designs and quality color pencils.,24.99,180,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flashomarginatus_ant.jpg
98,Skateboard Beginner,Toys & Kids,Durable skateboard with smooth wheels perfect for beginners and tricks.,89.99,70,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
99,Roller Skates Kids,Toys & Kids,Adjustable roller skates with safety features for children ages 5-12.,79.99,85,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
100,Bicycle Kids 20-Inch,Toys & Kids,Sturdy 20-inch bicycle with training wheels and safety features for kids.,149.99,60,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Camponotus_flavomarginatus_ant.jpg/320px-Camponotus_flavomarginatus_ant.jpg
